Bénéficiaire;Département;Nature du projet;Coût du projet;Subvention allouée;Part prise en charge;Parlementaire transmetteur;Nature;Département Parlementaire;Groupe politique du parlementaire;Lien vers données parlementaires
SON;8;la réfection du monument aux morts;6202,6;1550;0,2498952052;POLETTI Bérengère;Assemblée nationale;8;UMP;http://2007.nosdeputes.fr/POLETTI%20Bérengère/xml
SONAC;46;la réfection du pont de Larroque;13950;400;0,0286738351;MIQUEL Gérard;Sénat;46;SOC;http://nossenateurs.fr/MIQUEL%20Gérard/xml
SONCHAMP;78;la réhabilitation de la salle polyvalente;89487,93;20000;0,2234938276;LARCHER Gérard;Sénat;78;UMP;http://nossenateurs.fr/LARCHER%20Gérard/xml
SONGEONS;60;l'aménagement de la zone d'activités de la rue de l'Artisanat (2ème tranche);90115,41;40000;0,4438752484;VASSELLE Alain;Sénat;60;UMP;http://nossenateurs.fr/VASSELLE%20Alain/xml
SONNEVILLE;16;l'acquisition d'un terrain et son aménagement en parking;24388,38;3000;0,1230094004;LAMBERT Jérôme;Assemblée nationale;16;SRC;http://2007.nosdeputes.fr/LAMBERT%20Jérôme/xml
SONZAY;37;la construction de vestiaires sportifs;205500;10000;0,0486618005;BRIAND Philippe;Assemblée nationale;37;UMP;http://2007.nosdeputes.fr/BRIAND%20Philippe/xml
SORBETS;32;l'enfouissement des réseaux électriques, téléphoniques et d'éclairage public;66960,79;15000;0,224011694;0;Réserve ministérielle;;;
SORBEY;57;la construction et l'équipement d'une salle socioculturelle;679395,3;10000;0,0147189714;ZIMMERMANN Marie-Jo;Assemblée nationale;57;UMP;http://2007.nosdeputes.fr/ZIMMERMANN%20Marie-Jo/xml
SOREZE;81;l'aménagement de la salle polyvalente en espace d'accueil pour des activités touristiques et culturelles;312700;50000;0,1598976655;0;Réserve ministérielle;;;
SOREZE;81;l'extension et la rénovation des sanitaires du groupe scolaire;103548,14;12000;0,115888127;PASTOR Jean-Marc;Sénat;81;SOC;http://nossenateurs.fr/PASTOR%20Jean-Marc/xml
SORGUES;84;travaux de démolition et de confortement de plancher bois et de charpente au château Saint-Hubert;80540,15;15000;0,1862425138;MILON Alain;Sénat;84;UMP;http://nossenateurs.fr/MILON%20Alain/xml
SORIO;2B;l'acquisition d'un véhicule utilitaire;25209,26;2999;0,1189642219;GANDOLFI-SCHEIT Sauveur;Assemblée nationale;2B;UMP;http://2007.nosdeputes.fr/GANDOLFI-SCHEIT%20Sauveur/xml
SORNAC;19;la réhabilitation de la salle polyvalente;91474,11;5000;0,0546602749;DUPONT Jean-Pierre;Assemblée nationale;19;UMP;http://2007.nosdeputes.fr/DUPONT%20Jean-Pierre/xml
SORNEVILLE;54;l'aménagement de la parcelle des Résaillieux;10436;3000;0,2874664622;HENART Laurent;Assemblée nationale;54;UMP;http://2007.nosdeputes.fr/HENART%20Laurent/xml
SORNEVILLE;54;la réfection de la toiture de l'église et la mise en place d'un drainage périphérique;19911;5000;0,2511174728;NACHBAR Philippe;Sénat;54;UMP;http://nossenateurs.fr/NACHBAR%20Philippe/xml
SORNEVILLE;54;la rénovation de la salle Saint-Martin;4140,4;1880;0,4540624094;PANIS Jacqueline;Sénat;54;UMP;http://nossenateurs.fr/PANIS%20Jacqueline/xml
SOS;47;la rénovation de la place Emmanuel Delbousquet, de la rue Porte du Mas et du boulevard Gambetta;291124,62;6564;0,0225470453;FRANCOIS-PONCET Jean;Sénat;47;UMP;http://nossenateurs.fr/FRANCOIS-PONCET%20Jean/xml
SOSPEL;6;l'extension du réseau d'eau potable au quartier Sainte- Madeleine;72506,5;15000;0,206878004;GIUDICELLI Colette;Sénat;6;UMP;http://nossenateurs.fr/GIUDICELLI%20Colette/xml
SOSPEL;6;la restauration de l'église Saint-Michel (phase 2 - tranche A);597727,15;16000;0,0267680663;RAOUL Daniel;Sénat;49;SOC;http://nossenateurs.fr/RAOUL%20Daniel/xml
SOSSAY;86;l'enfouissement des réseaux électriques, de télécommunications et d'éclairage public dans le centre- bourg;23879,86;4000;0,1675051696;ABELIN Jean-Pierre;Assemblée nationale;86;NC;http://2007.nosdeputes.fr/ABELIN%20Jean-Pierre/xml
SOTTA;2A;l'aménagement d'une place au hameau de Chera;11017,87;5500;0,4991890447;de ROCCA SERRA Camille;Assemblée nationale;2A;UMP;http://2007.nosdeputes.fr/de ROCCA SERRA Camille/xml
SOTTA;2A;l'aménagement des berges de l'Orgone et la mise en sécurité du lit de la rivière;7150;3575;0,5;de ROCCA SERRA Camille;Assemblée nationale;2A;UMP;http://2007.nosdeputes.fr/de ROCCA SERRA Camille/xml
SOTTEVILLE-LES-ROUEN;76;le réaménagement d'un carrefour en zone 30, rue Pierre Mendès France;196100;50000;0,2549719531;BOURGUIGNON Pierre;Assemblée nationale;76;SRC;http://2007.nosdeputes.fr/BOURGUIGNON%20Pierre/xml
SOTTEVILLE-LES-ROUEN;76;l'aménagement d'une placette au carrefour des rues Gilles Bouvier et Léon Salva;50000;10000;0,2;BOURGUIGNON Pierre;Assemblée nationale;76;SRC;http://2007.nosdeputes.fr/BOURGUIGNON%20Pierre/xml
SOTURAC;46;l'aménagement des espaces publics, l'enfouissement des réseaux téléphoniques, la rénovation de l'éclairage public et la mise en lumière de l'église au hameau de Cavagnac;83994;14000;0,1666785723;MIQUEL Gérard;Sénat;46;SOC;http://nossenateurs.fr/MIQUEL%20Gérard/xml
SOTZELING;57;l'installation d'un abribus;2041,28;1020;0,4996864712;TODESCHINI Jean-Marc;Sénat;57;SOC;http://nossenateurs.fr/TODESCHINI%20Jean-Marc/xml
SOUAIN-PERTHES-LES-HURLUS;51;l'acquisition d'un défibrillateur cardiaque automatique;2084,58;1000;0,4797129398;OUDIT Mireille;Sénat;51;UMP;http://nossenateurs.fr/OUDIT%20Mireille/xml
SOUAL;81;la réhabilitation de l'éclairage public en traversée du village;72487,09;10000;0,1379556001;JARRAUD-VERGNOLLE Annie;Sénat;64;SOCV;http://nossenateurs.fr/JARRAUD-VERGNOLLE%20Annie/xml
SOUASTRE;62;la réalisation d'une étude préalable à l'installation d'un système d'assainissement collectif et à la construction d'une unité de traitement;62577,2;6000;0,0958815671;MAQUET Jacqueline;Assemblée nationale;62;SRC;http://2007.nosdeputes.fr/MAQUET%20Jacqueline/xml
SOUBLECAUSE;65;la mise en place de poteaux incendie (1ère tranche);9984,65;2500;0,25038434;LARCHER Gérard;Sénat;78;UMP;http://nossenateurs.fr/LARCHER%20Gérard/xml
SOUBREBOST;23;la restructuration des locaux de la mairie;106911,46;10000;0,0935353422;ASSOULINE David;Sénat;75;SOC;http://nossenateurs.fr/ASSOULINE%20David/xml
SOUCE;53;l'enfouissement de réseaux électriques et téléphoniques et l'installation d'un nouvel éclairage public;79999;30000;0,3750046876;0;Réserve ministérielle;;;
SOUCIA;39;la réfection de la salle communale;20962,99;6250;0,2981444918;LARCHER Gérard;Sénat;78;UMP;http://nossenateurs.fr/LARCHER%20Gérard/xml
SOUDAN;44;la restauration de la toiture du clocher de l'église;63988,36;20000;0,3125568463;PAPON Monique;Sénat;44;UMP;http://nossenateurs.fr/PAPON%20Monique/xml
SOUDORGUES;30;la mise en accessibilité du foyer socio-culturel et de la cantine;24988;5000;0,2000960461;PEYRONNET Jean-Claude;Sénat;87;SOC;http://nossenateurs.fr/PEYRONNET%20Jean-Claude/xml
SOUDRON;51;l'extension de l'éclairage public;22074,3;5000;0,2265077488;de COURSON Charles;Assemblée nationale;51;NC;http://2007.nosdeputes.fr/de COURSON Charles/xml
SOUEL;81;l'aménagement de la traversée du village;26585;13000;0,488997555;PASTOR Jean-Marc;Sénat;81;SOC;http://nossenateurs.fr/PASTOR%20Jean-Marc/xml
SOUESMES;41;la construction d'un restaurant scolaire;401150;20000;0,0498566621;MARTIN-LALANDE Patrice;Assemblée nationale;41;UMP;http://2007.nosdeputes.fr/MARTIN-LALANDE%20Patrice/xml
SOUESMES;41;la construction d'une unité de déferrisation et de démanganisation des eaux du forage de Mousselet;331500;10000;0,0301659125;GOURAULT Jacqueline;Sénat;41;UDI;http://nossenateurs.fr/GOURAULT%20Jacqueline/xml
SOUFFELWEYERSHEIM;67;la construction d'une école maternelle avec espace restauration et accueil périscolaire;4745489,03;60000;0,0126435863;0;Réserve ministérielle;;;
SOUGE;36;l'acquisition d'un tracteur multifonctions et de ses équipements;21219,9;2121;0,0999533457;PINTON Louis;Sénat;36;UMP;http://nossenateurs.fr/PINTON%20Louis/xml
SOUGY;45;la mise aux normes de la salle du conseil municipal;30037,57;12000;0,3994996932;GROUARD Serge;Assemblée nationale;45;UMP;http://2007.nosdeputes.fr/GROUARD%20Serge/xml
SOUGY;45;"le raccordement aux réseaux divers nécessaire à la viabilisation du terrain industriel situé route de Patay au lieu-dit ""Le Bois au Duc""";35326,17;17663;0,4999975939;DOLIGE Eric;Sénat;45;UMP;http://nossenateurs.fr/DOLIGE%20Eric/xml
SOUGY;45;"l'aménagement de la voirie nécessaire à la viabilisation du terrain industriel situé route de Patay au lieu-dit "" Le Bois au Duc""";29398,8;14699;0,499986394;ROZIER Janine;Sénat;45;UMP;http://nossenateurs.fr/ROZIER%20Janine/xml
SOUGY;45;l'aménagement d'une salle de classe, au sein du groupe scolaire situé 337, Grande Rue (2ème phase);35000;10000;0,2857142857;SUEUR Jean-Pierre;Sénat;45;SOC;http://nossenateurs.fr/SUEUR%20Jean-Pierre/xml
SOULAINE-SUR-AUBANCE;49;la restauration de l'église;35737,65;10000;0,2798169438;GOUA Marc;Assemblée nationale;49;SRC;http://2007.nosdeputes.fr/GOUA%20Marc/xml
SOULAIRE-ET-BOURG;49;l'aménagement d'une aire de jeux et de bicross au Bourg;22705,61;5000;0,2202098953;JEANNETEAU Paul;Assemblée nationale;49;UMP;http://2007.nosdeputes.fr/JEANNETEAU%20Paul/xml
SOULAIRES;28;la réfection de la rue des Eplesses et de la Sente à Tréan;19270;5000;0,2594706798;CORNU Gérard;Sénat;28;UMP;http://nossenateurs.fr/CORNU%20Gérard/xml
SOULANGIS;18;l'extension et la mise en accessibilité de la mairie;126900;10000;0,0788022065;FROMION Yves;Assemblée nationale;18;UMP;http://2007.nosdeputes.fr/FROMION%20Yves/xml
SOULANGY;14;la rénovation du service administratif et de la salle de réunion de la mairie;74754,08;5000;0,0668859813;GARREC René;Sénat;14;UMP;http://nossenateurs.fr/GARREC%20René/xml
SOULIGNE-SOUS-BALLON;72;la construction d'un bâtiment communal regroupant un bureau, des vestiaires et des sanitaires;35881,4;5000;0,139347963;LE MENER Dominique;Assemblée nationale;72;UMP;http://2007.nosdeputes.fr/LE MENER Dominique/xml
SOULLES;50;la restauration de la toiture de l'église;57592,39;10000;0,1736340513;ACCOYER Bernard;Assemblée nationale;74;UMP;http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
