Geo Point;Geo Shape;crossing;@id;highway
50.6044048, 3.0137813;"{""type"": ""Point"", ""coordinates"": [3.0137813, 50.6044048]}";;node/3200070378;crossing
50.6072736, 3.0138289;"{""type"": ""Point"", ""coordinates"": [3.0138289, 50.6072736]}";;node/3200070387;crossing
50.7968066, 3.2110452;"{""type"": ""Point"", ""coordinates"": [3.2110452, 50.7968066]}";;node/3216592175;crossing
50.7925214, 3.1891152;"{""type"": ""Point"", ""coordinates"": [3.1891152, 50.7925214]}";;node/3230456866;crossing
50.7925598, 3.1892447;"{""type"": ""Point"", ""coordinates"": [3.1892447, 50.7925598]}";;node/3230456867;crossing
50.6349252, 3.0400429;"{""type"": ""Point"", ""coordinates"": [3.0400429, 50.6349252]}";zebra;node/3239474516;crossing
50.6294441, 3.0429365;"{""type"": ""Point"", ""coordinates"": [3.0429365, 50.6294441]}";zebra;node/3239504421;crossing
50.629902, 3.0423045;"{""type"": ""Point"", ""coordinates"": [3.0423045, 50.629902]}";zebra;node/3239504422;crossing
50.6264089, 3.0473041;"{""type"": ""Point"", ""coordinates"": [3.0473041, 50.6264089]}";zebra;node/3239504436;crossing
50.6292692, 3.0517161;"{""type"": ""Point"", ""coordinates"": [3.0517161, 50.6292692]}";zebra;node/3239504438;crossing
50.6293286, 3.0517541;"{""type"": ""Point"", ""coordinates"": [3.0517541, 50.6293286]}";zebra;node/3239504439;crossing
50.629551, 3.0525695;"{""type"": ""Point"", ""coordinates"": [3.0525695, 50.629551]}";zebra;node/3239504441;crossing
50.6305645, 3.0514516;"{""type"": ""Point"", ""coordinates"": [3.0514516, 50.6305645]}";zebra;node/3239504443;crossing
50.6303162, 3.050703;"{""type"": ""Point"", ""coordinates"": [3.050703, 50.6303162]}";zebra;node/3239504444;crossing
50.6303171, 3.050834;"{""type"": ""Point"", ""coordinates"": [3.050834, 50.6303171]}";zebra;node/3239504446;crossing
50.6320905, 3.0509122;"{""type"": ""Point"", ""coordinates"": [3.0509122, 50.6320905]}";zebra;node/3239504454;crossing
50.6321675, 3.0511149;"{""type"": ""Point"", ""coordinates"": [3.0511149, 50.6321675]}";zebra;node/3239504456;crossing
50.6299852, 3.0260152;"{""type"": ""Point"", ""coordinates"": [3.0260152, 50.6299852]}";zebra;node/3239514033;crossing
50.63144, 3.0274885;"{""type"": ""Point"", ""coordinates"": [3.0274885, 50.63144]}";zebra;node/3239514035;crossing
50.6321439, 3.0278314;"{""type"": ""Point"", ""coordinates"": [3.0278314, 50.6321439]}";zebra;node/3239514040;crossing
50.629178, 3.0153526;"{""type"": ""Point"", ""coordinates"": [3.0153526, 50.629178]}";;node/3250616756;crossing
50.7903681, 3.2004232;"{""type"": ""Point"", ""coordinates"": [3.2004232, 50.7903681]}";traffic_signals;node/3266121962;crossing
50.7744387, 3.1725846;"{""type"": ""Point"", ""coordinates"": [3.1725846, 50.7744387]}";;node/3271084438;crossing
50.6353655, 3.0132766;"{""type"": ""Point"", ""coordinates"": [3.0132766, 50.6353655]}";zebra;node/3273455059;crossing
50.6381807, 3.0085579;"{""type"": ""Point"", ""coordinates"": [3.0085579, 50.6381807]}";zebra;node/3273456150;crossing
50.6337228, 3.0048456;"{""type"": ""Point"", ""coordinates"": [3.0048456, 50.6337228]}";zebra;node/3273456314;crossing
50.6363538, 3.0089041;"{""type"": ""Point"", ""coordinates"": [3.0089041, 50.6363538]}";zebra;node/3273456382;crossing
50.6375849, 3.0104885;"{""type"": ""Point"", ""coordinates"": [3.0104885, 50.6375849]}";zebra;node/3273456392;crossing
50.638388, 3.0119786;"{""type"": ""Point"", ""coordinates"": [3.0119786, 50.638388]}";zebra;node/3273456410;crossing
50.6371787, 3.0129006;"{""type"": ""Point"", ""coordinates"": [3.0129006, 50.6371787]}";zebra;node/3273456418;crossing
50.6377706, 3.0137887;"{""type"": ""Point"", ""coordinates"": [3.0137887, 50.6377706]}";zebra;node/3273456424;crossing
50.6368356, 3.012319;"{""type"": ""Point"", ""coordinates"": [3.012319, 50.6368356]}";zebra;node/3273456429;crossing
50.635353, 3.010142;"{""type"": ""Point"", ""coordinates"": [3.010142, 50.635353]}";zebra;node/3273456459;crossing
50.6342543, 3.0115708;"{""type"": ""Point"", ""coordinates"": [3.0115708, 50.6342543]}";zebra;node/3273456683;crossing
50.6341519, 3.0114023;"{""type"": ""Point"", ""coordinates"": [3.0114023, 50.6341519]}";zebra;node/3273456685;crossing
50.6329178, 3.008935;"{""type"": ""Point"", ""coordinates"": [3.008935, 50.6329178]}";zebra;node/3273456690;crossing
50.6395038, 3.0233401;"{""type"": ""Point"", ""coordinates"": [3.0233401, 50.6395038]}";zebra;node/3273456917;crossing
50.6391263, 3.0237156;"{""type"": ""Point"", ""coordinates"": [3.0237156, 50.6391263]}";zebra;node/3273456924;crossing
50.6353209, 3.0204558;"{""type"": ""Point"", ""coordinates"": [3.0204558, 50.6353209]}";zebra;node/3273494628;crossing
50.6224522, 3.0153027;"{""type"": ""Point"", ""coordinates"": [3.0153027, 50.6224522]}";zebra;node/3273494795;crossing
50.6424859, 3.0239759;"{""type"": ""Point"", ""coordinates"": [3.0239759, 50.6424859]}";zebra;node/3273514545;crossing
50.6424809, 3.024088;"{""type"": ""Point"", ""coordinates"": [3.024088, 50.6424809]}";zebra;node/3273514546;crossing
50.6457123, 3.0191018;"{""type"": ""Point"", ""coordinates"": [3.0191018, 50.6457123]}";zebra;node/3273514548;crossing
50.6443233, 3.0158481;"{""type"": ""Point"", ""coordinates"": [3.0158481, 50.6443233]}";zebra;node/3273514553;crossing
50.6458657, 3.0179222;"{""type"": ""Point"", ""coordinates"": [3.0179222, 50.6458657]}";zebra;node/3273514554;crossing
50.611225, 2.968276;"{""type"": ""Point"", ""coordinates"": [2.968276, 50.611225]}";zebra;node/1578309537;crossing
50.6082374, 2.9555278;"{""type"": ""Point"", ""coordinates"": [2.9555278, 50.6082374]}";;node/1578322982;crossing
