id,niveau,parcours,Semestre,Intitulés des UE ,UE nom court,Coeff,ECTS,Intitulés des EC de chaque UE ,EC nom court,Statut,Coeff,ECTS,%CM,%TD,%TP,VH EC,Seuil,EC Libre,Mutualisation Hors EC Libre,Commentaires,Nbs de groupes ,Coût HTD,VH CM,VH TD,VH TP,Mutualisation destination,Mutualisation source,Coût HTD formation
43,M1,GIS,1,Information - communication - langage,Info – com - langage,1,,Sciences du langage et pragmatique de la communication,Sciences du langage et pragmatique,O,4,4,"0,7","0,3",,30,30,Non Ouvert,"Offert, sur P8",Offert. AVUN/PTN,1,"40,5",21,9,0,"M1-AVUN,M1-PTN",,0
44,M1,GIS,1,Information - communication - langage,Info – com - langage,1,,Bases de l'anglais professionnel,Anglais,X,2,2,,1,,15,30,Non Ouvert,"Offert, sur P8",Offert. AVUN/PTN,1,15,0,15,0,"M1-AVUN,M1-PTN",,0
45,M1,GIS,1,Information - communication - langage,Info – com - langage,1,,EC Libre,EC Libre,X,,,,,,,30,,"Offert, sur P8",Offert. AVUN/PTN,,,,,,"M1-AVUN,M1-PTN",,0
46,M1,GIS,1,Fondamentaux en information-documentation 1,Fondamentaux info-doc 1,1,7,Description des documents et métadonnées,Description et métadonnées,O,3,3,"0,5","0,5",,20,30,Non Ouvert,"Offert, sur P8",Offert. AVUN/PTN,1,25,10,10,0,"M1-AVUN,M1-PTN",,0
47,M1,GIS,1,Fondamentaux en information-documentation 2,Fondamentaux info-doc 2,1,,Langages documentaires et classifications,Langages documentaires,O,4,4,"0,5","0,5",,30,30,Non Ouvert,"Offert, sur P8",Offert. AVUN/PTN,1,"37,5",15,15,0,"M1-AVUN,M1-PTN",,0
48,M1,GIS,2,Management de la fonction information,Management fonction info,1,7,Gestion d’un service info-documentaire,Gestion service info-doc,O,4,4,"0,5","0,5",,30,30,Non Ouvert,"Offert, sur P8",Offert. AVUN/PTN,1,"37,5",15,15,0,"M1-AVUN,M1-PTN",,0
49,M1,GIS,2,Management de la fonction information,Management fonction info,1,,Etude des besoins et cahier des charges ,Etude des besoins,O,3,3,"0,3","0,7",,30,30,Ouvert,"Offert, sur P8",Offert. AVUN/PTN,1,"34,5",9,21,0,"M1-AVUN,M1-PTN",,0
50,M1,GIS,2,Informatique documentaire,Informatique documentaire,1,7,Systèmes de recherche d'information (SRI),SRI,O,3,3,"0,5","0,5",,20,30,Non Ouvert,"Offert, sur P8",Offert. AVUN/PTN,1,25,10,10,0,"M1-AVUN,M1-PTN",,0
51,M1,GIS,2,Informatique documentaire,Informatique documentaire,1,,"Logiciels documentaires (GED, SIGB)",GED – SIGB,O,4,4,"0,5","0,5",,30,30,Non Ouvert,"Offert, sur P8",Offert. AVUN/PTN,1,"37,5",15,15,0,"M1-AVUN,M1-PTN",,0
52,M1,GIS,2,Fondamentaux en information-documentation 2,Fondamentaux info-doc 2,1,8,Sources et méthodes en recherche d’information,Sources et méthodes en recherche,O,4,4,"0,3","0,7",,30,30,Non Ouvert,"Offert, sur P8",Offert. AVUN/PTN,1,"34,5",9,21,0,"M1-AVUN,M1-PTN",,0
53,M1,GIS,2,Fondamentaux en information-documentation 3,Fondamentaux info-doc 3,1,,Indexation des documents,Indexation documents,O,2,2,"0,3","0,7",,15,30,Non Ouvert,"Offert, sur P8",Offert. AVUN/PTN,1,"18,5",5,11,0,"M1-AVUN,M1-PTN",,0
54,M1,GIS,2,Fondamentaux en information-documentation 4,Fondamentaux info-doc 4,1,,Traitement du document audiovisuel,Traitement document audiovisuel,O,2,2,"0,3","0,7",,15,30,Non Ouvert,"Offert, sur P8",Offert. AVUN/PTN,1,"18,5",5,11,0,"M1-AVUN,M1-PTN",,0
55,M1,GIS,2,Stage et rapport,Stage,1,8,Stage et rapport,Stage,O,8,8,,,,,,,,,0,0,0,0,0,,,0
56,M1,AVUN,1,Information - communication - langage,Info – com - langage,1,8,Introduction aux sciences de l'information et de la communication (SIC),Introduction SIC,O,2,2,"0,7","0,3",,15,30,Ouvert,Pris sur P8,Pris à GSI,1,"21,5",11,5,0,,M1-GSI,"21,5"
57,M1,AVUN,1,Information - communication - langage,Info – com - langage,1,,Sciences du langage et pragmatique de la communication,Sciences du langage et pragmatique,O,4,4,"0,7","0,3",,30,30,Non Ouvert,Pris sur P8,Pris à GSI,1,"40,5",21,9,0,,M1-GSI,"40,5"
58,M1,AVUN,1,Information - communication - langage,Info – com - langage,1,,Bases de l'anglais professionnel,Anglais,X,2,2,,1,,15,30,Non Ouvert,Pris sur P8,Pris à GSI,1,15,0,15,0,,M1-GSI,15
59,M1,AVUN,1,Information - communication - langage,Info – com - langage,1,,EC Libre,EC Libre,X,,,,,,,30,,Pris sur P8,Pris à GSI,,,,,,,M1-GSI,0
60,M1,AVUN,1,Fondamentaux en information-documentation 1,Fondamentaux info-doc 1,1,7,Description des documents et métadonnées,Description et métadonnées,O,3,3,"0,5","0,5",,20,30,Non Ouvert,Pris sur P8,Pris à GSI,1,25,10,10,0,,M1-GSI,25
61,M1,AVUN,1,Fondamentaux en information-documentation 2,Fondamentaux info-doc 2,1,,Langages documentaires et classifications,Langages documentaires,O,4,4,"0,5","0,5",,30,30,Non Ouvert,Pris sur P8,Pris à GSI,1,"37,5",15,15,0,,M1-GSI,"37,5"
62,M1,AVUN,2,Management de la fonction information,Management fonction info,1,7,Gestion d’un service info-documentaire,Gestion service info-doc,O,4,4,"0,5","0,5",,30,30,Non Ouvert,Pris sur P8,Pris à GSI,1,"37,5",15,15,0,,M1-GSI,"37,5"
63,M1,AVUN,2,Management de la fonction information,Management fonction info,1,,Etude des besoins et cahier des charges ,Etude des besoins,O,3,3,"0,3","0,7",,30,30,Ouvert,Pris sur P8,Pris à GSI,1,"34,5",9,21,0,,M1-GSI,"34,5"
64,M1,AVUN,2,Informatique documentaire,Informatique documentaire,1,7,Systèmes de recherche d'information (SRI),SRI,O,3,3,"0,5","0,5",,20,30,Non Ouvert,Pris sur P8,Pris à GSI,1,25,10,10,0,,M1-GSI,25
65,M1,AVUN,2,Informatique documentaire,Informatique documentaire,1,,"Logiciels documentaires (GED, SIGB)",GED – SIGB,O,4,4,"0,5","0,5",,30,30,Non Ouvert,Pris sur P8,Pris à GSI,1,"37,5",15,15,0,,M1-GSI,"37,5"
66,M1,AVUN,2,Fondamentaux en information-documentation 2,Fondamentaux info-doc 2,1,8,Sources et méthodes en recherche d’information,Sources et méthodes en recherche,O,4,4,"0,3","0,7",,30,30,Non Ouvert,Pris sur P8,Pris à GSI,1,"34,5",9,21,0,,M1-GSI,"34,5"
67,M1,AVUN,2,Fondamentaux en information-documentation 3,Fondamentaux info-doc 3,1,,Indexation des documents,Indexation documents,O,2,2,"0,3","0,7",,15,30,Non Ouvert,Pris sur P8,Pris à GSI,1,"18,5",5,11,0,,M1-GSI,"18,5"
68,M1,AVUN,2,Fondamentaux en information-documentation 4,Fondamentaux info-doc 4,1,,Traitement du document audiovisuel,Traitement document audiovisuel,O,2,2,"0,3","0,7",,15,30,Non Ouvert,Pris sur P8,Pris à GSI,1,"18,5",5,11,0,,M1-GSI,"18,5"
69,M1,AVUN,2,Stage et rapport,Stage,1,8,Stage et rapport,Stage,O,8,8,,,,,,,,,0,0,0,0,0,,,0
70,M1,PTN,1,Information - communication - langage,Info – com - langage,1,8,Introduction aux sciences de l'information et de la communication (SIC),Introduction SIC,O,2,2,"0,7","0,3",,15,30,Ouvert,Pris sur P8,Pris à GSI,1,"21,5",11,5,0,,M1-GSI,"21,5"
71,M1,PTN,1,Information - communication - langage,Info – com - langage,1,,Sciences du langage et pragmatique de la communication,Sciences du langage et pragmatique,O,4,4,"0,7","0,3",,30,30,Non Ouvert,Pris sur P8,Pris à GSI,1,"40,5",21,9,0,,M1-GSI,"40,5"
72,M1,PTN,1,Information - communication - langage,Info – com - langage,1,,Bases de l'anglais professionnel,Anglais,X,2,2,,1,,15,30,Non Ouvert,Pris sur P8,Pris à GSI,1,15,0,15,0,,M1-GSI,15
73,M1,PTN,1,Information - communication - langage,Info – com - langage,1,,EC Libre,EC Libre,X,,,,,,,30,,Pris sur P8,Pris à GSI,,,,,,,M1-GSI,0
74,M1,PTN,1,Fondamentaux en information-documentation 1,Fondamentaux info-doc 1,1,7,Description des documents et métadonnées,Description et métadonnées,O,3,3,"0,5","0,5",,20,30,Non Ouvert,Pris sur P8,Pris à GSI,1,25,10,10,0,,M1-GSI,25
75,M1,PTN,1,Fondamentaux en information-documentation 2,Fondamentaux info-doc 2,1,,Langages documentaires et classifications,Langages documentaires,O,4,4,"0,5","0,5",,30,30,Non Ouvert,Pris sur P8,Pris à GSI,1,"37,5",15,15,0,,M1-GSI,"37,5"
76,M1,PTN,2,Management de la fonction information,Management fonction info,1,7,Gestion d’un service info-documentaire,Gestion service info-doc,O,4,4,"0,5","0,5",,30,30,Non Ouvert,Pris sur P8,Pris à GSI,1,"37,5",15,15,0,,M1-GSI,"37,5"
77,M1,PTN,2,Management de la fonction information,Management fonction info,1,,Etude des besoins et cahier des charges ,Etude des besoins,O,3,3,"0,3","0,7",,30,30,Ouvert,Pris sur P8,Pris à GSI,1,"34,5",9,21,0,,M1-GSI,"34,5"
78,M1,PTN,2,Informatique documentaire,Informatique documentaire,1,7,Systèmes de recherche d'information (SRI),SRI,O,3,3,"0,5","0,5",,20,30,Non Ouvert,Pris sur P8,Pris à GSI,1,25,10,10,0,,M1-GSI,25
79,M1,PTN,2,Informatique documentaire,Informatique documentaire,1,,"Logiciels documentaires (GED, SIGB)",GED – SIGB,O,4,4,"0,5","0,5",,30,30,Non Ouvert,Pris sur P8,Pris à GSI,1,"37,5",15,15,0,,M1-GSI,"37,5"
80,M1,PTN,2,Fondamentaux en information-documentation 2,Fondamentaux info-doc 2,1,8,Sources et méthodes en recherche d’information,Sources et méthodes en recherche,O,4,4,"0,3","0,7",,30,30,Non Ouvert,Pris sur P8,Pris à GSI,1,"34,5",9,21,0,,M1-GSI,"34,5"
81,M1,PTN,2,Fondamentaux en information-documentation 3,Fondamentaux info-doc 3,1,,Indexation des documents,Indexation documents,O,2,2,"0,3","0,7",,15,30,Non Ouvert,Pris sur P8,Pris à GSI,1,"18,5",5,11,0,,M1-GSI,"18,5"
82,M1,PTN,2,Fondamentaux en information-documentation 4,Fondamentaux info-doc 4,1,,Traitement du document audiovisuel,Traitement document audiovisuel,O,2,2,"0,3","0,7",,15,30,Non Ouvert,Pris sur P8,Pris à GSI,1,"18,5",5,11,0,,M1-GSI,"18,5"
83,M1,PTN,2,Stage et rapport,Stage,1,8,Stage et rapport,Stage,O,8,8,,,,,,,,,0,0,0,0,0,,,0
84,M2,PTN,3,Théories du texte numérique en contexte,Théories du texte numérique,1,16,Sémiotique générale du texte et de l’image,Sémiotique générale du texte,O,3,3,"0,5","0,5",,30,20,Non Ouvert,,,2,75,15,15,0,,,0
85,M2,PTN,3,Théories du texte numérique en contexte,Théories du texte numérique,1,,Sémiotique des interfaces,Sémiotique des interfaces,O,3,4,"0,7","0,3",,30,30,Ouvert,"Offert, sur P8",,1,"40,5",21,9,0,P8,,0
86,M2,PTN,3,Théories du texte numérique en contexte,Théories du texte numérique,1,,Littérature numérique,Littérature numérique,O,3,3,"0,7","0,3",,30,30,Non Ouvert,,,1,"40,5",21,9,0,,,0
87,M2,PTN,3,Théories du texte numérique en contexte,Théories du texte numérique,1,,Textualité augmentée ( IDEFI CréaTIC),Textualité augmentée,O,3,3,"0,5","0,5",,30,30,Non Ouvert,Offert CréaTIC,,1,"37,5",15,15,0,CréaTIC,,0
88,M2,PTN,3,Théories du texte numérique en contexte,Théories du texte numérique,1,,EC à choisir dans l'offre IDEFI CréaTIC,EC CréaTIC,O,3,3,,,,30,30,Non Ouvert,Pris CréaTIC,,1,0,0,0,0,,CréaTIC,0
89,M2,PTN,3,Le texte numérique en atelier,Atelier texte numérique,1,13,Atelier d'écriture numérique,Atelier écriture numérique,O,3,3,"0,3","0,7",,30,30,Non Ouvert,,,1,"34,5",9,21,0,,,0
90,M2,PTN,3,Le texte numérique en atelier,Atelier texte numérique,1,,Atelier d'écriture papier,Atelier écriture papier,O,3,3,,1,,30,30,Non Ouvert,,,1,30,0,30,0,,,0
91,M2,PTN,3,Le texte numérique en atelier,Atelier texte numérique,1,,Humanités numériques,Humanités numériques,O,4,4,"0,5","0,5",,30,30,Non Ouvert,,,1,"37,5",15,15,0,,,0
92,M2,PTN,3,Le texte numérique en atelier,Atelier texte numérique,1,,Publication en réseau,Publication en réseau,O,3,3,"0,5","0,5",,30,30,Non Ouvert,,,1,"37,5",15,15,0,,,0
93,M2,PTN,4,Pratiques du texte numérique et scénarisation,Pratiques texte numérique,1,6,Introduction aux aspects programmés du texte numérique,Introduction programmer texte,O,3,3,"0,5","0,5",,20,30,Non Ouvert,,,1,25,10,10,0,,,0
94,M2,PTN,4,Pratiques du texte numérique et scénarisation,Pratiques texte numérique,1,,Gestion des contenus,Gestion des contenus,O,3,3,"0,7","0,3",,30,30,Non Ouvert,,,1,"40,5",21,9,0,,,0
