"concept","type","valeur"
"wiktionary.org","page web","un mauvais ouvrier a toujours de mauvais outils"
"wiktionary.org","page web","avec des si on mettrait Paris en bouteille"
"wiktionary.org","page web","la nuit porte conseil"
"wiktionary.org","page web","si Dieu n'existait pas, il faudrait l'inventer"
"wiktionary.org","page web","l'appétit vient en mangeant"
"wiktionary.org","page web","qui ne tente rien n'a rien"
"wiktionary.org","page web","il n'est point de petites affaires"
"wiktionary.org","page web","on ne peut pas avoir le beurre et l'agent du beurre"
"wiktionary.org","page web","changement d ?herbage réjouit les veaux"
"wiktionary.org","page web","les paroles s'envolent, les écrits restent"
"wiktionary.org","page web","un méchant accommodement vaut mieux que le meilleur procès"
"wiktionary.org","page web","beaucoup de bruit pour rien"
"wiktionary.org","page web","la parole est d ?argent et le silence est d ?or"
"wiktionary.org","page web","si de beaucoup travailler on devenait riche, les ânes auraient le bât doré"
"wiktionary.org","page web","l'argent n'a pas d ?odeur"
"wiktionary.org","page web","qui paie ses dettes s'enrichit"
"wiktionary.org","page web","il n'est point de sot métier"
"wiktionary.org","page web","on ne prête qu'aux riches"
"wiktionary.org","page web","charité bien ordonnée commence par soi-même"
"wiktionary.org","page web","les petits présents entretiennent l'amitié"
"wiktionary.org","page web","un mauvais arrangement vaut mieux qu'un bon procès"
"wiktionary.org","page web","bien faire, et laisser dire"
"wiktionary.org","page web","la peur donne des ailes"
"wiktionary.org","page web","la plume est plus forte que l'épée"
"wiktionary.org","page web","si jeunesse savait, si vieillesse pouvait"
"wiktionary.org","page web","l'avenir appartient à ceux qui se lèvent tôt"
"wiktionary.org","page web","qui paye le pot dit le mot"
"wiktionary.org","page web","il ne faut pas dire, fontaine, je ne boirai pas de ton eau"
"wiktionary.org","page web","on ne tond pas un œuf"
"wiktionary.org","page web","chassez le naturel, il revient au galop"
"wiktionary.org","page web","les plaisanteries les plus courtes sont les meilleures"
"wiktionary.org","page web","un sou est un sou"
"wiktionary.org","page web","bien mal acquis ne profite jamais"
"wiktionary.org","page web","la raison du plus fort est toujours la meilleure"
"wiktionary.org","page web","sitôt dit, sitôt fait"
"wiktionary.org","page web","a beau mentir qui vient de loin"
"wiktionary.org","page web","l'argent est un bon serviteur et un mauvais maître"
"wiktionary.org","page web","qui paye ses dettes s'enrichit"
"wiktionary.org","page web","il ne faut pas mettre tous ses œufs dans le même panier"
"wiktionary.org","page web","on peut rire de tout, mais pas avec tout le monde"
"wiktionary.org","page web","chassez le naturel par la porte, il revient par la fenêtre"
"wiktionary.org","page web","les rats quittent le navire"
"wiktionary.org","page web","un tiens vaut mieux que deux tu l'auras"
"wiktionary.org","page web","bon estomac et mauvais cœur, c'est le secret pour vivre longtemps"
"wiktionary.org","page web","un vieillard qui meurt est une bibliothèque qui brûle"
"wiktionary.org","page web","bon marché, c'est mauvais marché"
"wiktionary.org","page web","la vache la première au pré, lèche toute la rosée"
"wiktionary.org","page web","souvent femme varie, bien fol est qui s'y fie"
"wiktionary.org","page web","à bon chat, bon rat"
