,"Membre de",Laboratoire,Université,Affiliation,"A pour ville",Nom,"A pour clé de tri"
"Luc Grivel","Université Paris 1 Panthéon-Sorbonne,Université Paris 8",,,"Université Paris 1 Panthéon-Sorbonne,Université Paris 8",Paris,"Luc Grivel",
"Alice Guilhon","SKEMA Business School",,,"SKEMA Business School",,"Alice Guilhon",
"Gérard Giraudon","Centre de recherche INRIA Sophia Antipolis - Méditerranée","Centre de recherche INRIA Sophia Antipolis - Méditerranée",,,,"Gérard Giraudon",
"Gérard Mestrallet","Conservatoire national des arts et métiers",,,"Conservatoire national des arts et métiers",Paris,"Gérard Mestrallet",
"Danièle HERIN","Université Montpellier 2,Laboratoire d'informatique, de robotique et de microélectronique de Montpellier",,"Université Montpellier 2","Laboratoire d'informatique, de robotique et de microélectronique de Montpellier",Montpellier,"Danièle HERIN",
"Mohamed Hafidi","Université Badji-Mokhtar de Annaba",,"Université Badji-Mokhtar de Annaba",,Annaba,"Mohamed Hafidi",
"Gilles Halin","Université de Lorraine,Centre de recherche en architecture et ingénierie",,,"Université de Lorraine,Centre de recherche en architecture et ingénierie",Nancy,"Gilles Halin",
"Mohammed Halleb","Université Paris 8,Paragraphe (laboratoire)","Paragraphe (laboratoire)",,"Université Paris 8",Paris,"Mohammed Halleb",
"Khadidja Harbouche","Université Ferhat Abbas de Sétif",,"Université Ferhat Abbas de Sétif",,Sétif,"Khadidja Harbouche",
"Stevan Harnad","Université du Québec à Montréal,Université de Southampton",,"Université du Québec à Montréal","Université de Southampton",Montréal,"Stevan Harnad",
"Jean-Alain Hernandez","Télécom ParisTech,École Polytechnique.",,,"Télécom ParisTech,École Polytechnique.",,"Jean-Alain Hernandez",
"Sébastien Hock-Koon","Université Paris 13",,"Université Paris 13",,Paris,"Sébastien Hock-Koon",
"Martin Hofmann","Université technique de Braunschweig",,,"Université technique de Braunschweig",,"Martin Hofmann",
"Henri Hudrisier","Université Paris 8,Paragraphe (laboratoire)","Paragraphe (laboratoire)",,"Université Paris 8",Paris,"Henri Hudrisier",
"Pascal Humbert","École nationale supérieure d'architecture de Nancy,Centre de recherche en architecture et ingénierie",,,"École nationale supérieure d'architecture de Nancy,Centre de recherche en architecture et ingénierie",Nancy,"Pascal Humbert",
"Madjid Ihadjadene","Université Paris 8,Paragraphe (laboratoire)","Paragraphe (laboratoire)","Université Paris 8",,,"Madjid Ihadjadene",
"Ismaël Khalil","Université Johannes Kepler de Linz",,"Université Johannes Kepler de Linz",,Linz,"Ismaël Khalil",
"Christian Jacquemin","Université Paris-Sud,Laboratoire d'informatique pour la mécanique et les sciences de l'ingénieur","Laboratoire d'informatique pour la mécanique et les sciences de l'ingénieur","Université Paris-Sud",,Orsay,"Christian Jacquemin",
