id;code;NbDoc;Pertinence;parent;lft;rgt;copie;geo;Explode 1;Explode 2;ajout;Supp
2405;Maritime;1;1.09563970565796;;;;;;;;;
2109;Materiau;3;2.80427700281143;;;;343;;;;;
343;Matériaux;247;209.551381886005;;;;;;;;;
1251;Materiaux - Chimie;5;4.55115061998367;;;;;; - ;;;
1229;Matériaux - Environnement;1;0.654354214668274;;;;;; - ;;;
3634;Matériaux avancés;1;0.514394819736481;;;;343;;;;;
789;Matériaux de construction;1;0.498996019363403;;;;343;;;;;
1203;Matériaux Environnement Energie;1;1.13791739940643;;;;;; ;;;
489;Matériaux et nanotechnologies;18;17.2279830873013;;;;;; et ;;;
1394;Matériaux et procédés;1;0.417335480451584;;;;343;;;;;
2337;Matériaux-Sciences de l'ingénieur;2;1.48403930664062;;;;;;-;;;
1835;Matériaux, médecine;1;1.26618564128876;;;;;;,;;;
4008;Mathématique - Physique;9;9.36479020118713;;;;;; - ;;;
495;Mathématiques;60;65.7735942006111;;;;;; - ;;;
2068;Mathématiques - Informatique;2;2.95031416416168;;;;;; - ;;;
2948;Mathématiques - Physique;19;22.2707234323025;;;;;; - ;;;
2224;Mathématiques Appliquées;5;5.40940707921982;;;;;;;;;
2388;Mathématiques et physique;9;10.8596217632294;;;;;; et ;;;
380;Matières premières;2;1.82316654920578;;;;;;;;;
361;Mécanique;47;41.9281532466412;;;;;;;;;
3812;Mécanique - Energétique;28;36.2328297495842;;;;;; - ;;;
1971;Mécanique et Matériaux;1;0.721758782863617;;;;;; et ;;;
3532;mécanique, énergie, transport;1;0.676150977611542;;;;;;,;;;
1702;Mécanique, Médecine;1;1.33899915218353;;;;;;,;;;
3805;Mécanique, Transport, Energie;1;0.869316339492798;;;;;;,;;;
2884;Mécanique, Transport, Génie Civil;9;15.4541996121407;;;;;;,;;;
4696;mécanisme;1;0.800506949424744;;;;;;;;;
334;Médecine;587;491.100260898471;;;;;;;;;
1937;Médecine - Biologie;7;7.52483958005905;;;;;; - ;;;
3700;Médecine - Biomédical;1;1.77693247795105;;;;;; - ;;;
2695;Medecine - Biotechnologies;11;8.43226447701454;;;;;; - ;;;
2294;Médecine - Epidemiologie;1;0.602083802223206;;;;;; - ;;;
1402;Médecine - Hystologie;1;0.591215252876282;;;;;; - ;;;
2822;Médecine - Pédiatrie;1;0.649713397026062;;;;;; - ;;;
1312;Médecine - Pharmacie;38;30.4831691980362;;;;;; - ;;;
3945;Médecine - Pharmacie - Biotechnologies;2;1.62078094482422;;;;;; - ;;;
4030;Médecine - Pharmacologie;1;0.808601856231689;;;;;; - ;;;
1181;Médecine - Physique;1;0.392354488372803;;;;;; - ;;;
2046;Médecine - Politique technologique;1;1.06641066074371;;;;;; - ;;;
1206;Médecine - Santé;119;112.940827846527;;;;;; - ;;;
2770;Médecine - Santé - Pharmacie;4;3.82567429542542;;;;;; - ;;;
2083;Medecine - TIC;1;1.11846339702606;;;;;; - ;;;
2064;Médecine et Biotechnologies;3;2.86952489614487;;;;;; et ;;;
1836;Médecine et Génétique;1;0.556751728057861;;;;;; et ;;;
2912;Médecine et pharmacie;8;7.55590879917145;;;;;; et ;;;
3254;Médecine et pharmacologie;8;7.78929632902145;;;;;; et ;;;
555;Médecine et Santé;3;3.00480222702026;;;;;; et ;;;
1625;Médecine et sciences de la vie;5;5.3217710852623;;;;;; et ;;;
845;Médecine nucléaire ;1;0.534550130367279;;;;;;;;;
355;Médecine régénérative;3;2.05246736109257;;;;;;;;;
3103;Médecine Santé;1;0.847274899482727;;;;;;;;;
1532;Médecine Traditionnelle;1;0.908774852752686;;;;;;;;;
1610;Médecine traditionnelle chinoise;1;0.668681502342224;;;;1610;;;;;
871;Médecine tropicale;1;0.376665502786636;;;;;;;;;
1875;Médecine Vétérinaire;1;1.53683829307556;;;;;;;;;
1930;Medecine- Pharmacie;1;0.881796300411224;;;;;;-;;;
1079;Médecine-Biotechnologies;1;2.63097834587097;;;;;;-;;;
