"doc_id";"titre";"ME";"MEEnf";"ICE";"ICEEnf";"nbDoc";"nbTag";"nbUti";"nbDocEnf";"nbTagEnf";"nbUtiEnf"
"678";"Un réseau de production pilote pour l'industrie 4.0";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"681";"Sommet mondial de la santé";"2";"4";"0.062500";"0.250000";"1";"2";"1";"2";"2";"1"
"684";"Smart Grids : des régies municipales testent un réseau intelligent à Augsbourg";"2";"4";"0.062500";"0.250000";"1";"2";"1";"2";"2";"1"
"687";"Les cultures à usage énergétiques";"2";"1";"0.250000";"1.000000";"1";"2";"1";"1";"1";"1"
"698";"Les informaticiens lettons en pôle position";"6";"1";"0.083333";"1.000000";"1";"3";"2";"1";"1";"1"
"700";"La Lettonie s'intéresse à l'hydrogène";"6";"1";"0.083333";"1.000000";"1";"3";"2";"1";"1";"1"
"718";"Innovations pour la mobilité électrique de l'ENEA à Klimamobility 2013";"6";"1";"0.083333";"1.000000";"1";"3";"2";"1";"1";"1"
"720";"Déploiement de Smart micro-grids exploitant l'énergie solaire";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"723";"De Sienne aux Etats-Unis, 50 chercheurs pour des supercalculateurs";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"726";"Coopération spatiale Italie-Chine pour l'étude de l'activité sismique depuis l'espace";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"741";"Les erreurs subliminales laissent-elles des traces électrophysiologiques ?";"6";"1";"0.083333";"1.000000";"1";"3";"2";"1";"1";"1"
"765";"Vers une production durable d'hydrogène";"12";"1";"0.041667";"1.000000";"1";"4";"3";"1";"1";"1"
"767";"Industrie manufacturière aux Etats-Unis - Partie 2 : collaborer pour réussir";"6";"4";"0.020833";"0.250000";"1";"3";"2";"2";"2";"1"
"770";"Acidification des océans : une menace pour les Etats-Unis";"3";"4";"0.041667";"0.250000";"1";"3";"1";"2";"2";"1"
"773";"Transmission des données sans fil : débit record de 100 Gbit/s";"6";"1";"0.083333";"1.000000";"1";"3";"2";"1";"1";"1"
"791";"Des robots apprenant à marcher comme des humains";"8";"4";"0.015625";"0.250000";"1";"4";"2";"2";"2";"1"
